pose.x,pose.y,pose.z,orientation.x,orientation.y,orientation.z,orientation.w
2.28139033424668e-05,-6.034809985067113e-07,-6.034809985067113e-07,3.259629011154175e-09,4.117931530345231e-05,-9.948154911398888e-06,1.0
2.392397800576873e-05,-6.037506068423681e-07,-6.037506068423681e-07,6.984919309616089e-10,3.307039150968194e-05,-9.949086233973503e-06,0.9999999403953552
2.6489255105843768e-05,-6.038766287019826e-07,-6.038766287019826e-07,-3.725290298461914e-09,8.803399396128953e-06,-9.94885340332985e-06,0.9999999403953552
2.911601222876925e-05,-6.038294486643281e-07,-6.038294486643281e-07,-3.725290298461914e-09,-1.6119403881020844e-05,-9.950483217835426e-06,1.0000001192092896
3.0602459446527064e-05,-6.035197088749555e-07,-6.035197088749555e-07,-3.4924596548080444e-09,-2.840191882569343e-05,-9.95071604847908e-06,1.0000001192092896
3.055173147004098e-05,-6.034267698851181e-07,-6.034267698851181e-07,4.656612873077393e-10,-2.367666456848383e-05,-9.950017556548119e-06,1.0
2.945385131170042e-05,-6.033343424860504e-07,-6.033343424860504e-07,3.026798367500305e-09,-7.294947863556445e-06,-9.95071604847908e-06,1.0
2.8259086320758797e-05,-6.034138095856179e-07,-6.034138095856179e-07,6.51925802230835e-09,1.0130155715160072e-05,-9.950017556548119e-06,1.0000001192092896
2.7811489417217672e-05,-6.039672371116467e-07,-6.039672371116467e-07,1.862645149230957e-09,1.9237661035731435e-05,-9.950948879122734e-06,0.9999998807907104
2.8416634449968114e-05,-6.039878144292743e-07,-6.039878144292743e-07,-4.190951585769653e-09,1.6748264897614717e-05,-9.950250387191772e-06,1.0
2.9768929380225018e-05,-6.037161028871196e-07,-6.037161028871196e-07,-4.6566128730773926e-09,5.98614860791713e-06,-9.95071604847908e-06,1.0
3.122556518064812e-05,-6.035958222128102e-07,-6.035958222128102e-07,-1.6298145055770874e-09,-5.998212145641446e-06,-9.950483217835426e-06,0.9999999403953552
3.221451333956793e-05,-6.034031798662909e-07,-6.034031798662909e-07,2.0954757928848267e-09,-1.2765478459186852e-05,-9.951181709766388e-06,1.0000001192092896
3.24991560773924e-05,-6.037004709469329e-07,-6.037004709469329e-07,6.752088665962219e-09,-1.1736905435100198e-05,-9.951414540410042e-06,1.0
3.225464388378896e-05,-6.039103936927859e-07,-6.039103936927859e-07,7.2177499532699585e-09,-4.8205110942944884e-06,-9.950483217835426e-06,1.0
3.189833660144359e-05,-6.040350513103476e-07,-6.040350513103476e-07,7.2177499532699585e-09,3.303226549178362e-06,-9.950948879122734e-06,1.0000001192092896
